Index,WEKO_ID,_id
kdu_repo_nii_ac_jp-authors-author-v1.0.0,4,mMhN2YgBoLHu5TQkHP7Q
kdu_repo_nii_ac_jp-authors-author-v1.0.0,5,mchN2YgBoLHu5TQkHP7Y
kdu_repo_nii_ac_jp-authors-author-v1.0.0,6,mshN2YgBoLHu5TQkHP7f
kdu_repo_nii_ac_jp-authors-author-v1.0.0,7,m8hN2YgBoLHu5TQkHP7n
kdu_repo_nii_ac_jp-authors-author-v1.0.0,8,nMhN2YgBoLHu5TQkHP7t
kdu_repo_nii_ac_jp-authors-author-v1.0.0,9,nchN2YgBoLHu5TQkHP72
kdu_repo_nii_ac_jp-authors-author-v1.0.0,10,nshN2YgBoLHu5TQkHP7-
kdu_repo_nii_ac_jp-authors-author-v1.0.0,11,n8hN2YgBoLHu5TQkHf4E
kdu_repo_nii_ac_jp-authors-author-v1.0.0,12,oMhN2YgBoLHu5TQkHf4K
keiwa_repo_nii_ac_jp-authors-author-v1.0.0,2,i8qiHogBGJ__CfegUWye
keiwa_repo_nii_ac_jp-authors-author-v1.0.0,3,jMqiHogBGJ__CfegUWzH
keiwa_repo_nii_ac_jp-authors-author-v1.0.0,7,jcqiHogBGJ__CfegUWzR
keiwa_repo_nii_ac_jp-authors-author-v1.0.0,8,jsqiHogBGJ__CfegUWzY
keiwa_repo_nii_ac_jp-authors-author-v1.0.0,10,j8qiHogBGJ__CfegUWzg
keiwa_repo_nii_ac_jp-authors-author-v1.0.0,11,kMqiHogBGJ__CfegUWzn
keiwa_repo_nii_ac_jp-authors-author-v1.0.0,12,kcqiHogBGJ__CfegUWzu
kobegakuin_repo_nii_ac_jp-authors-author-v1.0.0,1,0ft9H4gBNSI4ak-cGJQ5
kobegakuin_repo_nii_ac_jp-authors-author-v1.0.0,2,0vt9H4gBNSI4ak-cGJRc
kobegakuin_repo_nii_ac_jp-authors-author-v1.0.0,4,0_t9H4gBNSI4ak-cGJRh
kobegakuin_repo_nii_ac_jp-authors-author-v1.0.0,5,1Pt9H4gBNSI4ak-cGJRm
kokushikan_repo_nii_ac_jp-authors-author-v1.0.0,1,MfGB04gBY3hslcP1g8EU
kokushikan_repo_nii_ac_jp-authors-author-v1.0.0,2,MvGB04gBY3hslcP1g8Ex
kokushikan_repo_nii_ac_jp-authors-author-v1.0.0,3,M_GB04gBY3hslcP1g8E2
kokushikan_repo_nii_ac_jp-authors-author-v1.0.0,4,NPGB04gBY3hslcP1g8E9
kyoto_phu_repo_nii_ac_jp-authors-author-v1.0.0,11,5uu0H4gBXu_BVC3b1y-b
kyoto_phu_repo_nii_ac_jp-authors-author-v1.0.0,13,5-u0H4gBXu_BVC3b1y_K
miyazaki_mu_repo_nii_ac_jp-authors-author-v1.0.0,1,7tmE0ogBtcA3gmVc2av1
miyazaki_u_repo_nii_ac_jp-authors-author-v1.0.0,1,AVfTHogBEvcpoiyE1QJN
miyazaki_u_repo_nii_ac_jp-authors-author-v1.0.0,2,AlfTHogBEvcpoiyE1QJx
miyazaki_u_repo_nii_ac_jp-authors-author-v1.0.0,4,A1fTHogBEvcpoiyE1QJ1
miyazaki_u_repo_nii_ac_jp-authors-author-v1.0.0,6,BFfTHogBEvcpoiyE1QJ7
miyazaki_u_repo_nii_ac_jp-authors-author-v1.0.0,7,BVfTHogBEvcpoiyE1QKB
miyazaki_u_repo_nii_ac_jp-authors-author-v1.0.0,8,BlfTHogBEvcpoiyE1QKF
miyazaki_u_repo_nii_ac_jp-authors-author-v1.0.0,9,B1fTHogBEvcpoiyE1QKK
miyazaki_u_repo_nii_ac_jp-authors-author-v1.0.0,10,CFfTHogBEvcpoiyE1QKP
n_junshin_repo_nii_ac_jp-authors-author-v1.0.0,1,HcCLHogBniTX3GnugacM
n_junshin_repo_nii_ac_jp-authors-author-v1.0.0,2,HsCLHogBniTX3Gnugacs
n_junshin_repo_nii_ac_jp-authors-author-v1.0.0,3,H8CLHogBniTX3Gnugacy
n_junshin_repo_nii_ac_jp-authors-author-v1.0.0,4,IMCLHogBniTX3Gnugac4
nanzan_u_repo_nii_ac_jp-authors-author-v1.0.0,2,vugKH4gBtKkLgOMzxkWV
nanzan_u_repo_nii_ac_jp-authors-author-v1.0.0,6,v-gKH4gBtKkLgOMzxkW9
nanzan_u_repo_nii_ac_jp-authors-author-v1.0.0,7,wOgKH4gBtKkLgOMzxkXD
nifs_k_repo_nii_ac_jp-authors-author-v1.0.0,1,w9OZHogBDp7jFLOMJo8I
nifs_k_repo_nii_ac_jp-authors-author-v1.0.0,2,xNOZHogBDp7jFLOMJo8r
nifs_k_repo_nii_ac_jp-authors-author-v1.0.0,3,xdOZHogBDp7jFLOMJo8x
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,1,ZZdL2YgBn6nxEJfowbNZ
